категория;код товара;артикул;наименование;цена;дата;описание;картинка
Лампа;26;DL01;Лампа DIODE ST64 12W CLEAR 2700K E27-DL01;581;01 01 2000 13:15;;product_image/image-1.png
Лампа;27;DL02;Лампа DIODE ST64 6W AMBER 2700K E27-DL02;450;02 01 2000 13:15;;product_image/image-1-1.png
Лампа;25;DL03;Лампа DIODE ST64  12W AMBER 2700K E27-DL03;575;03 01 2000 13:15;;product_image/image-1-1.png
Лампа;17;DL04;Лампа DIODE A60 4W AMBER 2700K E27-DL04;500;04 01 2000 13:15;;product_image/image-1-2.png
Лампа;18;DL05;Лампа DIODE A60 6W AMBER 2700K E27-DL05;600;05 01 2000 13:15;;product_image/image-1-2.png
Лампа;404;DL06;Лампа DIODE G80 6W 265V 2700K-DL06;575;06 01 2000 13:15;;product_image/image-30.png
Лампа;22;DL07;Лампа DIODE G80 6W AMBER 2700K E27-DL07;788;07 01 2000 13:15;;product_image/image-30.png
Лампа;21;DL08;Лампа DIODE G80 12W AMBER 2700K E27-DL08;813;08 01 2000 13:15;;product_image/image-30.png
Лампа;24;DL09;Лампа DIODE G95 6W AMBER 2700K E27-DL09;938;09 01 2000 13:15;;product_image/image-30.png
Лампа;23;DL10;Лампа DIODE G95 12W AMBER 2700K E27-DL10;1250;10 01 2000 13:15;;product_image/image-30.png
Лампа;20;DL11;Лампа DIODE G125 6W AMBER 2700K E27-DL11;1500;11 01 2000 13:15;;product_image/image-30.png
Лампа;36;CU01;Лампа GU10 10W 4000K-CU01;313;12 01 2000 13:15;;product_image/image-1-27.png
Лампа;37;CU02;Лампа GU10 10W 6500K-CU02;313;13 01 2000 13:15;;product_image/image-1-27.png
Лампа;38;CU03;Лампа GU5.3 10W 4000K-CU03;313;14 01 2000 13:15;;product_image/image-1-27.png
Лампа;39;CU04;Лампа GU5.3 10W 6500K-CU04;313;15 01 2000 13:15;;product_image/image-1-27.png
Светильник;283;SV08;Светильник T8 120CM 40W 6500K-SV08;1125;16 01 2000 13:15;;product_image/image-1-9.png
Светильник;285;SV09;Светильник T8 90CM 30W 6500K-SV09;1000;17 01 2000 13:15;;product_image/image-1-9.png
Светильник;284;SV10;Светильник T8 60CM 20W 6500K-SV10;875;18 01 2000 13:15;;product_image/image-1-9.png
Светильник;280;SV11;Светильник T5 120CM 35W 6500K-SV11;700;19 01 2000 13:15;1000;product_image/image-1-9.png
Светильник;282;SV12;Светильник T5 90CM 25W 6500K-SV12;875;20 01 2000 13:15;;product_image/image-1-9.png
Светильник;281;SV13;Светильник T5 60CM 15W 6500K-SV13;500;21 01 2000 13:15;750;product_image/image-1-9.png
